Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
8/19/20,AQS,60730001,2,24,ug/m3 SC,22,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/25/20,AQS,60730001,2,24,ug/m3 SC,22,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/31/20,AQS,60730001,2,15,ug/m3 SC,14,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/6/20,AQS,60730001,2,44,ug/m3 SC,41,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/12/20,AQS,60730001,2,68,ug/m3 SC,57,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/18/20,AQS,60730001,2,39,ug/m3 SC,36,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/24/20,AQS,60730001,2,31,ug/m3 SC,29,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/6/20,AQS,60730001,2,55,ug/m3 SC,51,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/12/20,AQS,60730001,2,32,ug/m3 SC,30,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/18/20,AQS,60730001,2,28,ug/m3 SC,26,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/24/20,AQS,60730001,2,17,ug/m3 SC,16,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/30/20,AQS,60730001,2,28,ug/m3 SC,26,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/5/20,AQS,60730001,2,35,ug/m3 SC,32,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/11/20,AQS,60730001,2,20,ug/m3 SC,19,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/17/20,AQS,60730001,2,28,ug/m3 SC,26,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/23/20,AQS,60730001,2,33,ug/m3 SC,31,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/29/20,AQS,60730001,2,19,ug/m3 SC,18,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/5/20,AQS,60730001,2,28,ug/m3 SC,26,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/11/20,AQS,60730001,2,27,ug/m3 SC,25,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/17/20,AQS,60730001,2,21,ug/m3 SC,19,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/23/20,AQS,60730001,2,39,ug/m3 SC,36,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/29/20,AQS,60730001,2,14,ug/m3 SC,13,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/4/20,AQS,60731014,1,35,ug/m3 SC,32,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
1/10/20,AQS,60731014,1,17,ug/m3 SC,16,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
1/16/20,AQS,60731014,1,52,ug/m3 SC,48,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
1/22/20,AQS,60731014,1,22,ug/m3 SC,20,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
1/28/20,AQS,60731014,1,33,ug/m3 SC,31,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
2/3/20,AQS,60731014,1,45,ug/m3 SC,42,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
2/9/20,AQS,60731014,1,15,ug/m3 SC,14,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
2/15/20,AQS,60731014,1,42,ug/m3 SC,39,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
2/21/20,AQS,60731014,1,77,ug/m3 SC,62,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
2/27/20,AQS,60731014,1,62,ug/m3 SC,54,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
3/4/20,AQS,60731014,1,44,ug/m3 SC,41,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
3/10/20,AQS,60731014,1,6,ug/m3 SC,6,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
3/16/20,AQS,60731014,1,22,ug/m3 SC,20,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
3/22/20,AQS,60731014,1,17,ug/m3 SC,16,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
3/28/20,AQS,60731014,1,26,ug/m3 SC,24,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
4/3/20,AQS,60731014,1,59,ug/m3 SC,53,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
4/9/20,AQS,60731014,1,6,ug/m3 SC,6,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
4/15/20,AQS,60731014,1,46,ug/m3 SC,43,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
4/21/20,AQS,60731014,1,21,ug/m3 SC,19,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
4/27/20,AQS,60731014,1,36,ug/m3 SC,33,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
5/3/20,AQS,60731014,1,34,ug/m3 SC,31,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
5/9/20,AQS,60731014,1,35,ug/m3 SC,32,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
5/15/20,AQS,60731014,1,35,ug/m3 SC,32,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
5/21/20,AQS,60731014,1,36,ug/m3 SC,33,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
5/27/20,AQS,60731014,1,22,ug/m3 SC,20,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
6/2/20,AQS,60731014,1,52,ug/m3 SC,48,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
6/8/20,AQS,60731014,1,55,ug/m3 SC,51,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
6/14/20,AQS,60731014,1,37,ug/m3 SC,34,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
6/20/20,AQS,60731014,1,21,ug/m3 SC,19,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
6/26/20,AQS,60731014,1,26,ug/m3 SC,24,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
7/2/20,AQS,60731014,1,32,ug/m3 SC,30,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
7/8/20,AQS,60731014,1,48,ug/m3 SC,44,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
7/14/20,AQS,60731014,1,38,ug/m3 SC,35,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
7/20/20,AQS,60731014,1,21,ug/m3 SC,19,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
7/26/20,AQS,60731014,1,28,ug/m3 SC,26,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
8/1/20,AQS,60731014,1,62,ug/m3 SC,54,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
8/7/20,AQS,60731014,1,33,ug/m3 SC,31,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
8/13/20,AQS,60731014,1,58,ug/m3 SC,52,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
8/19/20,AQS,60731014,1,53,ug/m3 SC,49,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
8/25/20,AQS,60731014,1,26,ug/m3 SC,24,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
8/31/20,AQS,60731014,1,21,ug/m3 SC,19,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
9/6/20,AQS,60731014,1,74,ug/m3 SC,60,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
9/12/20,AQS,60731014,1,85,ug/m3 SC,66,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
9/18/20,AQS,60731014,1,118,ug/m3 SC,82,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
9/24/20,AQS,60731014,1,114,ug/m3 SC,80,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
9/30/20,AQS,60731014,1,174,ug/m3 SC,110,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
10/6/20,AQS,60731014,1,158,ug/m3 SC,102,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
10/12/20,AQS,60731014,1,96,ug/m3 SC,71,Donovan,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.57816,-116.92135
