Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/6/20,AQS,60730001,1,13.6,ug/m3 LC,54,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
5/9/20,AQS,60730001,1,14.9,ug/m3 LC,57,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
5/12/20,AQS,60730001,1,5.4,ug/m3 LC,23,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
5/15/20,AQS,60730001,1,8.8,ug/m3 LC,37,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
5/18/20,AQS,60730001,1,4.4,ug/m3 LC,18,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
5/21/20,AQS,60730001,1,8.6,ug/m3 LC,36,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
5/24/20,AQS,60730001,1,12.4,ug/m3 LC,52,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
5/27/20,AQS,60730001,1,8.6,ug/m3 LC,36,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
5/30/20,AQS,60730001,1,4.5,ug/m3 LC,19,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/2/20,AQS,60730001,1,11.2,ug/m3 LC,47,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/5/20,AQS,60730001,1,5.7,ug/m3 LC,24,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/8/20,AQS,60730001,1,8.4,ug/m3 LC,35,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/11/20,AQS,60730001,1,11.7,ug/m3 LC,49,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/14/20,AQS,60730001,1,8.2,ug/m3 LC,34,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/17/20,AQS,60730001,1,7.4,ug/m3 LC,31,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/20/20,AQS,60730001,1,6.6,ug/m3 LC,28,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/23/20,AQS,60730001,1,7.7,ug/m3 LC,32,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/26/20,AQS,60730001,1,5.4,ug/m3 LC,23,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/29/20,AQS,60730001,1,4.3,ug/m3 LC,18,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/2/20,AQS,60730001,1,8.3,ug/m3 LC,35,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/5/20,AQS,60730001,1,15.1,ug/m3 LC,57,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/8/20,AQS,60730001,1,13.6,ug/m3 LC,54,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/11/20,AQS,60730001,1,8,ug/m3 LC,33,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/13/20,AQS,60730001,1,13.4,ug/m3 LC,54,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/14/20,AQS,60730001,1,10.1,ug/m3 LC,42,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/17/20,AQS,60730001,1,5.4,ug/m3 LC,23,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/20/20,AQS,60730001,1,6.7,ug/m3 LC,28,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/23/20,AQS,60730001,1,5.2,ug/m3 LC,22,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/26/20,AQS,60730001,1,7,ug/m3 LC,29,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/29/20,AQS,60730001,1,9.7,ug/m3 LC,40,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/4/20,AQS,60730001,1,11.3,ug/m3 LC,47,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/7/20,AQS,60730001,1,8.2,ug/m3 LC,34,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/10/20,AQS,60730001,1,8.7,ug/m3 LC,36,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/13/20,AQS,60730001,1,10.5,ug/m3 LC,44,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/16/20,AQS,60730001,1,11.4,ug/m3 LC,48,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/19/20,AQS,60730001,1,11,ug/m3 LC,46,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/22/20,AQS,60730001,1,9.4,ug/m3 LC,39,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/25/20,AQS,60730001,1,10.9,ug/m3 LC,45,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/28/20,AQS,60730001,1,11.8,ug/m3 LC,49,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/31/20,AQS,60730001,1,7.3,ug/m3 LC,30,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/3/20,AQS,60730001,1,9.9,ug/m3 LC,41,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/6/20,AQS,60730001,1,19.8,ug/m3 LC,67,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/9/20,AQS,60730001,1,14.9,ug/m3 LC,57,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/12/20,AQS,60730001,1,43.7,ug/m3 LC,121,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/15/20,AQS,60730001,1,46.7,ug/m3 LC,129,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/18/20,AQS,60730001,1,14.8,ug/m3 LC,57,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/21/20,AQS,60730001,1,11.3,ug/m3 LC,47,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/24/20,AQS,60730001,1,12.2,ug/m3 LC,51,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
9/27/20,AQS,60730001,1,11.3,ug/m3 LC,47,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
10/3/20,AQS,60730001,1,20.2,ug/m3 LC,68,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
