Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/31/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/1/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/2/20,AQS,60731008,1,17,ppb,16,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/3/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/4/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/5/20,AQS,60731008,1,2,ppb,2,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/6/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/7/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/8/20,AQS,60731008,1,12,ppb,11,Camp Pendleton,18,75,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/9/20,AQS,60731008,1,21,ppb,20,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/10/20,AQS,60731008,1,24,ppb,23,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/11/20,AQS,60731008,1,14,ppb,13,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/12/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/13/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/14/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/15/20,AQS,60731008,1,6,ppb,6,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/16/20,AQS,60731008,1,6,ppb,6,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/17/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/18/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/19/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/20/20,AQS,60731008,1,1,ppb,1,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/21/20,AQS,60731008,1,1,ppb,1,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/22/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,21,88,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/23/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/24/20,AQS,60731008,1,5,ppb,5,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/25/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/26/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/27/20,AQS,60731008,1,2,ppb,2,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/28/20,AQS,60731008,1,1,ppb,1,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/29/20,AQS,60731008,1,10,ppb,9,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
6/30/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/1/20,AQS,60731008,1,7,ppb,7,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/2/20,AQS,60731008,1,16,ppb,15,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/3/20,AQS,60731008,1,6,ppb,6,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
7/4/20,AQS,60731008,1,4,ppb,4,Camp Pendleton,22,92,42602,Nitrogen dioxide (NO2),41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,33.217055,-117.396177
