Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/16/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/17/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/18/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/19/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/20/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,16,67,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/21/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,9,38,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/22/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,10,42,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/23/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,6,25,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/24/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,7,29,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/25/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/26/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/27/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,9,38,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/28/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,8,33,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/29/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,16,67,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/30/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/1/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/2/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/3/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/4/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/5/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/6/20,AQS,60731022,1,0.4,ppm,5,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/7/20,AQS,60731022,1,0.4,ppm,5,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/8/20,AQS,60731022,1,0.4,ppm,5,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/9/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/10/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/11/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/12/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/13/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/14/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/15/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/16/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/17/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/18/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/19/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/20/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/21/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/22/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
